name,description,address
Wild fennel food and wine,An ecceleccrtis mix of fun food art and atmoshere.,574 Fernhill road Mayne Island BC
Molly's Reach Restaurant,Located in Gibsons Molly's Reach was home to the old CBC show The Beachcombers.,647 School Road Gibsons BC
Smitty's Oyster House,Great seafood fresh oysters relaxed atmospehere stunning view and an ocean breeze.,643 School Road Gibsons BC
White Spot (Maple Ridge),This White Spot is located in Maple Ridge on Lougheed Highway.,20855 Lougheed Hwy Maple Ridge BC
Paliotti's Italian Restaurant,Award winning Italian restaurant located in Maple Ridge.,12018 Edge Street Maple Ridge BC
Lava Steakhouse,Ridge Meadow's Premium Steak Eatery serving local Hopcott hormone free 28 day aged beef.,22590 Dewdney Trunk Road Maple Ridge British Columbia
131 Water Kitchen and Bar,Classic Twists Memorable Drinks Perfect for Sharing,127-131 Water St. Vancouver BC
Chambar,An unpretentious fling with fine dining.,562 Beatty Street Vancouver BC
Nat Bailey Stadium (Vancouver Canadians),New look menu makes watching the game that much more enjoyable.,4601 Ontario Street Vancouver BC
Central Bistro,Central Bistro serves gourmet dining for everyday people.,1072 Denman Street Vancouver BC
Burgoo (Kitsilano),The Kitsilano Burgoo is the newest location in the Burgoo chain of restaurants,2272 W. 4th Ave Vancouver BC
Burgoo Bistro (Lonsdale),Cozy wood and stone room with comfy seating and delicious soup stew & fondue.,3 Lonsdale Avenue North Vancouver BC
Burgoo Bistro (Main St),Burgoo on Main is the third location of this popular comfort food chain.,3096 Main St Vancouver BC
Burgoo Bistro (West 10th),A cozy neighbourhood bistro serving delicious home cooked food from around the world.,4434 West 10th Avenue Vancouver BC
Cravings Restaurant + Lounge,Cravings Restaurant + Lounge provides a setting and service as cozy and comfortable as the food it serves up. Hearty yet healthy hip but without pretense.,8808 Osler Street (Oak & 72nd - behind the Coast Hotel) Vancouver BC
Louis Gervais Fine Foods and Catering,Vancouver Catering Bistro and Event Venue,850 Harbourside Drive North Vancouver BC
Silvano’s Restaurant,This Greek/Italian restaurant is located in the small town of Agassiz.,7056 Cheam Agassiz BC
Jack's Restaurant and Steakhouse,Jack's write; real prices...real people...Great Food!,7205 Pioneer Ave. Agassiz British Columbia
Pho Hoa Vietnamese Restaurant,Open 24 hours this inexpensive Vietnamese restaurant offers decent quality nourishing Pho soup.,2257 Kingsway Vancouver BC
Hakata Sushi,Sushi restaurant near Vancouver Hospital offers a good selection of Japanese and Vietnamese items.,887 West Broadway Vancouver BC
Pho 66 Vietnamese Restaurant (CLOSED),Due to demolition of current location PHO 66 is looking for a new location. Friendly family-run Vietnamese restaurant offers delicious dishes such as salad rolls spring rolls Pho (Vietnamese noodle soup) curry and seafood.,3663 E. Hastings St. Vancouver BC
Vina Vietnamese (Lonsdale),Spend the afternoon enjoying superb Vancouver waterfront views tasty food and shopping.,123 Carrie Cates Court North Vancouver BC
Pho Kim Penh Xe Lua,Located on Broadway this Vietnamese 24 hour place will hit the hunger spot.,500 W. Broadway Vancouver BC
Pho Gold Train Express,Drop by for Pho in Marpole.,8178 Granville Street Vancouver BC
Hanoi Pho Restaurant,One place for everything: Vietnamese Chinese and Vegetarian.,406 East Hastings Street Vancouver BC
Neighbourhood Noodle House,One of the better Noodle Houses in North Vancouver.,1352 Lonsdale Ave North Vancouver BC
One Saigon Bistro,Vietnamese cuisine on Hornby,979 Hormby Vancouver
Vana Vietnamese Cuisine,"Try the ""vibrant and bold flavours""at the Harbour Centre Food Court.",555 West Hastings Street Vancouver BC
Hidden Tasting Bar and Social Lounge,Hidden is a modern tasting bar and social lounge located in the Westin Grand Hotel.,433 Robson St. Vancouver British Columbia
The Blackbird Public House and Oyster Bar,The newest Donnelly Public House located in downtown Vancouver.,905 Dunsmuir Street Vancouver BC
The Academic Public House,The Academic is the newest public house in the Donnelly Hospitality Group. Late hours and great location.,1619 West Broadway Vancouver BC
The Butcher & Bullock,Butcher and Bullock takes over the Smiley's spot on West Pender.,911 West Pender St Vancouver BC
The Sandbar Seafood Restaurant,Located on Granville Island the Sandbar Seafood Restaurant offers some of Vancouver's best views and seafood.,1535 Johnson Street Creekhouse #9 Vancouver BC
The Bimini Public House,The new and improved Bimini is back in business.,2010 West 4th Ave Vancouver BC
The New Oxford,The New Oxford is the newest creation of the Donnelly Group of pubs. A British themed place that is destined to be as popular as their other establishments.,1144 Homer Street Vancouver BC
Thai Cafe,Delicious tastes of Thai cuisine at this small inviting restaurant.,4160 Hastings St. Burnaby BC
Clove,Experience delicate flavors of Indian-Asian fusion in this artfully decorated room.,2054 Commercial Drive Vancouver BC
Thai House Restaurant (North Vancouver),Great food at all of the Thai House locations.,180 West Esplande North Vancouver BC
Thai Yala,Authentic Thai food.,1925 Lonsdale Ave North Vancouver BC
Urban Thai Bistro,Not just Thai food in the heart of Yaletown.,1119 Hamilton Street Vancouver
Pink Elephant Thai,Located on Alberni Street Pink Elephant Thai is the newest creation of the owners of Charm Modern Thai Urban Thai Bistro and Chilli House Thai Bistro.,1152 Alberni Street Vancouver BC
Mekong House,Featuring an exotic blend of Asian cuisine including Vietnamese Japanese Thai as well as vegetarian dishes.,1414 Commercial Dr. Vancouver BC
Chilli House Thai,Enjoy our Award-winning Authentic Thai food with an amazing view.,1018 Beach Avenue Vancouver BC
Gramercy Grill,West side restaurant with a downtown feel,2685 Arbutus Vancouver BC
Black + Blue,Black and Blue is the newest steakhouse creation by the Glowbal Group.,1032 Alberni Street Vancouver BC
Hamilton Street Grill,Yaletown steakhouse popular with local foodies.,1009 Hamilton St. Vancouver BC
The Ticket Kitchen and Bar,Located right beside BC Place Stadium perfect pleace for pre and post event dinners.,808 Beatty Street Vancouver BC
Joey Tomato Mediterranean Grill,A chain restaurant that's popular for a reason.,550 Lougheed Hwy Coquitlam BC
The Keg Steakhouse and Bar (Thurlow St),Good Food Good Friends Good Booklet.,742 Thurlow Street Vancouver BC
The Keg Steakhouse and Bar (Burnaby),Great location to enjoy steaks and good company.,2656 Eastbrook Parkway Burnaby BC
Mr Mikes Steakhouse & Bar (Coquitlam),Mr Mikes is celebrating 50 years of providing Steak for everyone.,32-2991 Lougheed Highway Coquitlam BC
Sauce,Casual environment highlighted by innovative cuisine and live music.,1245 Wharf Street Victoria BC
Aphrodite's Organic Cafe and Pie Shop,Dine Out Organically - seasonal food fresh from our Organic Farm.,3598 West 4th Vancouver BC
Continental Coffee,Vancouver independent coffee shop located on Main Street.,4295 Main Street Vancouver British Columbia
La Terrazza Restaurant & Lounge,Perfect for a romantic evening. An award winning wine list and food to die for.,1088 Cambie Street (at Pacific) Vancouver BC
Dragon Ball Tea House,Bubble-tea is a sweet fruity non-alcoholic drink especially popular among Asian teens and 20-somethings.,1007 W King Edward Vancouver BC
Shaughnessy Restaurant at the Van Dusen Gardens,As close to garden dining as you'll ever get.,Oak St. and W 37th Ave. Vancouver BC
El Matador Spanish Tapas,El Matador Spanish Tapas is the love child of old-world Spain and modern social dining.,131 W Esplanade #2 North Vancouver BC
The Urban Chef,The Urban Chef - Busy People's Culinary Solution, Vancouver BC
Dulcinea Spanish Chocolate Cafe,Chocolate and Desserts: Romance Passion Small Indulgences,1118 Denman Street Vancouver BC
Judas Goat Taberna (CLOSED),Judas Goat is a popular new small restaurant located in Gastown.,27 Blood Alley Vancouver BC
Old Surrey Restaurant,The Old Surrey Restaurant family owned and operated which has been catering to fine-dining customers for over 30 years.,13483 72 Avenue Surrey BC
El Barrio,Drop by to try their Mexican and Latin American cuisine.,2270 East Hastings St. Vancouver BC
The Sardine Can,The Sardine Can is the newest Spanish themed creation from Andrey Durbach.,26 Powell Street Vancouver BC
Cobre Restaurant (CLOSED),Latin American and Spanish Tapas dishes arrive in Gastown to positive reviews. Stop by to see what the buzz is all about.,52 Powell St Vancouver BC
Noodle Box,A mix of cultures and flavours for you to enjoy on the go or in our restaurant.,626 Fisgard Street Victoria BC
White Spot (North Vancouver),Park and Tilford in North Vancouver is where this White Spot is located.,1100-333 Brooksbank Ave North Vancouver BC
Killjoy,The Killjoy is the newest creation of the Donnelly Group.,1120 Hamilton Street Vancouver BC
Granville Room,The Granville Room may just be the least talked about place that everyone loves.,957 Granville St Vancouver BC
White Spot (Oakridge),When shopping at Oakridge this White Spot is a great place to grab a bite to eat.,650 West 41St Ave Vancouver BC
Seasons in the Park,Seasons in the Park is located in Queen Elizabeth Park. A perfect spot for a lunch or dinner date.,Cambie St and West 33rd Vancouver BC
White Spot (Drake St),This White Spot restaurant is located on Drake St in downtown Vancouver.,718 Drake Street Vancouver BC
The Refinery,One of Vancouver's most innovative cocktail and wine bars with a seasonal fresh menu. Welcome to the new Gra,1115 Granville St Vancouver BC
Frankie's Italian Kitchen,Located in the old William Tell spot Frankie's Italian Kitchen serves authentic Italian cusine.,765 Beatty Street Vancouver BC
Nicli Antica Pizzeria,Authentic Wood Fired Neapolitan Pizzeria (VPN Certified),62 East Cordova Vancouver BC
Stan's Pizza Joint,Stan's serves great pizza and has big screens for your viewing pleasure.,4527 East Hastings Burnaby BC
Megabite Pizza,Inexpensive fresh slices of pizza and Italian gelato at the Broadway / Commercial Drive skytrain station.,2440 Commercial Drive Vancouver BC
Atrevida Restaurant at the Galiano Oceanfront Inn and Spa,Oceanfront fine dining on beautiful Galiano Island only 1 hour by ferry from Victoria.,134 Madrona Drive Galiano Island BC
Joe Fortes Seafood & Chop House,Great roof top patio and excellent oysters.,777 Thurlow St Vancouver BC
The Fish Shack,The Fish Shack is the newest restaurant from the Glowbal Collection.,1026 Granville St. Vancouver BC
COAST Restaurant,Catch Cook and Eat! COAST serves up some of Vancouver's finest seafood in a contemporary and up-scale setting.,1054 Alberni Street Vancouver BC
Kam's Place Singaporean Cuisine,Tasty Singaporean cuisine in the heart of the downtown Westend area with free delivery.,1043 Davie Street Vancouver BC
Fuse Pan Asian Express,Fuse Pan Asian Express is part of the Taste of Yaletown 2009.,1078 Mainland Street Vancouver BC
Chilli Padi Restaurant,Visit Chili Padi to experience the exquisite taste of authentic Malaysian Cuisine.,5750 Fraser St Vancouver BC
Super Grocer & Pharmacy Delicatessen,Menu changes daily.,12051 No. 1 Road Richmond BC
Prima Taste Restaurant (CLOSED),Located on Robson Street Prima Taste offers unique Singapore cuisine.,570 Robson Street Vancouver BC
Pidgin,Newest hot spot in Gastown which is getting alot of attention for various reasons.,350 Carrall Street Vancouver BC
Sea Monstr Sushi,Gastown's newest sushi sensation. Receiving great reviews so far.,55 Powell Street Vancouver BC
Electric Owl,Electric Owl serves great drinks and creative Asian themed food.,928 Main Street Vancouver BC
dougiedog Hot Dogs,Over 20 of North America's best all-natural hot dogs served hot & fresh!,1011 Granville Vancouver BC
Posh Restaurant (Broadway) (CLOSED),The second location of the Posh chain that serves Japanese Sukiyaki dishes.,101-1788 West Broadway Vancouver BC
Sui Sha Ya Japanese Restaurant,A popular 'all you can eat' sushi chain.,221-5300 No. 3 Road Richmond BC
Seoul House Royal Korean Restaurant,Cook right at your table with Korean Barbecue in this ornate and modern restaurant.,1215 West Broadway Vancouver BC
House of Tofu Soup Korean Restaurant,A unique taste of Korean cuisine: tofu soup and bul-go-gee.,4563 North Road Burnaby BC
Yomi's Sushi & Noodle House,Delicious meals Quick service and Friendly atmosphere.,1532 Marine Drive West Vancouver British Columbia
Dae Hak Ro Express Korean Restaurant,Delicious quick and cheap. Licensed Express Korean Restaurant,686 Seymour Street Vancouver BC
Dae Bak Bon Ga Korean Restaurant,Fine Korean dining atop Robson square.,201-1323 Robson St. Vancouver British Columbia
Norboo Authentic Korean Restaurant,Great traditional Korean restaurant with large outdoor patio.,1536 Robson St. Vancouver British Columbia
Spicy House Korean Restaurant,Korean BBQ Spicy dishes.,2039 Lonsdale Ave North Vancouver BC
La Casita Tacos,Where it's taco Tuesday everyday!,1773 Robson Street Vancouver BC
Taco Time,Good value and good taste at Metrotown Mall.,1272 - 4700 Kingsway Burnaby BC
Andale's Mexican and Spanish Cuisine (CLOSED),Fast good and fun. We'll be happy to make it for you!,3211 W. Broadway Vancouver BC
Chapters Viewpoint Restaurant,Kamloops award-winning restaurant.,610 Columbia Street W Kamloops BC
Lolita's Restaurant,High-end Mexican cantina on Davie.,1326 Davie St. Vancouver BC
Tio Pepes,Award winning Yucatan Mexican restaurant on Commercial Drive.,1134 Commercial Drive Vancouver BC
IK2GO (Hornby),IK2GO Hornby is the newest restaurant in the Glowbal Collection.,1328 Hornby Street Vancouver BC
Italian Kitchen,The Italian Kitchen is Glowbal Group's (Sanafir Coast Glowbal Grill) newest creation. Situated on Alberni Street this Italian themed restaurant will add even more flavour to Vancouver's restaurant dining scene.,1037 Alberni Street Vancouver BC
IK2GO (Alberni),IK2GO Alberni is the first of two Glowbal Group Italian cuisine take out restaurants.,1049 Alberni Street Vancouver BC
Francescos Ristorante Italia,Experience the tantalizing indulgence of our menu a veritable palette of timeless regional flavours and quality dishes.,860 Burrard Street Vancouver BC
Sula Indian Restaurant,Sula Indian Restaurant (formally Palki Indian Restaurant): cuisine Indian and the neighborhood Vancouver’s Commercial Drive.,1130 Commercial Drive Vancouver British Columbia
Copper Chimney Restaurant & Bar,One of downtown Vancouver’s best restaurants for Indian fusion food in a fine dining setting.,567 Hornby Street Vancouver
Akbar's Own Indian Restaurant,Great indian food in a relaxed atmosphere.,1905 W Broadway Vancouver BC
Bombay Bhel Indian Restaurant (CLOSED),Classy inviting restaurant with reasonable prices and authentic dishes.,4266 East Hastings Burnaby BC
Chutney Villa,Authentic cuisine from South India. Mouth-watering dishes made mainly from rice meat and lentils will tantalize your taste buds.,147 East Broadway Ave Vancouver BC
Original Tandoori and Chat House,A small restaurant with Indian take out.,7233 Fraser Street Vancouver BC
Himalayan Peak Indian Cuisine & Lounge,Great Indian food on top of Burnaby Mountain.,8901 University High Street Cornerstone Mews Burnaby BC
Mezbaan Restaurant,Mezbaan serves a nice lunch buffet.,3499 Kingsway Vancouver B.C.
Riddim and Spice,Taste of Jamaica and the Caribbean.,1945 Commercial Drive Vancouver BC
Kiss Yo Mama,Authentic Caribbean food with a Jamaican Chef and Down South Soul Food flavors.,4926 Imperial Street Burnaby BC
The Reef (Victoria),Inspire your senses with the taste of the islands.,533 Yates Street Victoria BC
Cardero's in Coal Harbour,Located in Coal Harbour Cardero's is a great place to experience some of Vancouver's best views and cuisine.,1583 Coal Harbour Quay Vancouver BC
Bar None (Yaletown),This Yaletown nightclub features live Dj's and great cocktails.,1222 Hamilton Street Vancouver BC
beyond restaurant + lounge,Beyond's focus is on local cuisine and high quality in a superb setting.,1015 Burrard Street Vancouver BC
Dover Arms,Located in the centre of the Denman strip Dover Arms has been an iconic neighborhood gathering place hosting friendly regulars since 1975.,961 Denman St Vancouver BC
Federico's Supper Club,Vancouver's unique dining experience served up in a retro atmosphere complete with live music entertainment and dancing.,1728 Commercial Drive Vancouver BC
Darby's Pub,Friendly neighborhood pub with the best burgers in Kitsilano.,2001 MacDonald Street @ W 4th Avenue Vancouver BC
Society Dining Lounge,Society is the Glowbal Group's newest creation. Set to open October 29th be sure to visit this hot new Yaletown dining lounge.,1257 Hamilton Street Vancouver BC
The Edge Social Grille & Lounge,The newest addition to Granville Street's Entertainment District.,1100 Granville Street Vancouver BC
glowbal grill Steaks & Satay,Offers an energetic atmosphere combined with excellent service and innovative comfort cuisine.,1079 Mainland St. Vancouver BC
Dockside Restaurant,Enjoy casual fine dining in a waterfront restaurant that exudes urban dash and sparkle.,1253 Johnston Street Granville Island Vancouver BC
Post Modern,Post Modern is the place to go for dancing in Gastown.,7 Alexander St Vancouver BC
The Queen's Republic,The Queen's Repubic is located in the heart of the granville entertainment district.,958 Granville Street Vancouver BC
Shark Club Burnaby (Closed),Great place to hang out enjoy drinks and watch the game.,4399 Lougheed Hwy Burnaby BC
Pop Opera (CLOSED),Pop Opera caters to top celebrites when they want to party.,686 West Hastings St Vancouver BC
The Ocean Club Restaurant & Lounge,The place to be when your stylish and want to dine in that way.,105 - 100 Park Royal North West Vancouver BC
The Bridge Between,Generous portions of well prepared food at great prices.,1970 Spicer Road North Vancouver BC
Cactus Club Cafe,A great dining lounge with a full-service bar and globally inspired menu.,1136 Robson St. Vancouver British Columbia
The Three Brits,The Three Brits serves as the West End’s first craft beer house featuring 10 taps of BC and American craft beer.,1780 Davie Street Vancouver BC
Clough Club,The Clough Club is the newest cocktail bar from the Donnelly Group.,212 Abbott Street Vancouver BC
The Meatery,Artisan house roasted sandwiches and tapas. Wholesome and satisfying,3108 Edgemont Blvd North Vancouver BC
Steamworks Brewing Company,Casual trendy hangout in Gastown with waterfront views.,375 Water Street Vancouver BC
Back Forty,We serve up great cooking with an innovative take on classic comfort food that satisfies even big city tastes.,118 Robson Street Vancouver BC
